address [pageNum=4, frameNum=114, signedNUm=0, LogicalAddress=16916, physicalAddress=29184]
address [pageNum=12, frameNum=136, signedNUm=0, LogicalAddress=62493, physicalAddress=34817]
address [pageNum=4, frameNum=136, signedNUm=29, LogicalAddress=30198, physicalAddress=34818]
address [pageNum=0, frameNum=127, signedNUm=108, LogicalAddress=53683, physicalAddress=32515]
address [pageNum=8, frameNum=208, signedNUm=0, LogicalAddress=40185, physicalAddress=53249]
address [pageNum=12, frameNum=208, signedNUm=0, LogicalAddress=28781, physicalAddress=53249]
address [pageNum=12, frameNum=208, signedNUm=23, LogicalAddress=24462, physicalAddress=53250]
address [pageNum=12, frameNum=208, signedNUm=67, LogicalAddress=48399, physicalAddress=53251]
address [pageNum=12, frameNum=208, signedNUm=75, LogicalAddress=64815, physicalAddress=53251]
address [pageNum=4, frameNum=105, signedNUm=-35, LogicalAddress=18295, physicalAddress=26883]
address [pageNum=8, frameNum=105, signedNUm=11, LogicalAddress=12218, physicalAddress=26882]
address [pageNum=8, frameNum=105, signedNUm=0, LogicalAddress=22760, physicalAddress=26880]
address [pageNum=12, frameNum=231, signedNUm=56, LogicalAddress=57982, physicalAddress=59138]
address [pageNum=12, frameNum=231, signedNUm=27, LogicalAddress=27966, physicalAddress=59138]
address [pageNum=12, frameNum=227, signedNUm=53, LogicalAddress=54894, physicalAddress=58114]
address [pageNum=0, frameNum=227, signedNUm=0, LogicalAddress=38929, physicalAddress=58113]
address [pageNum=0, frameNum=227, signedNUm=0, LogicalAddress=32865, physicalAddress=58113]
address [pageNum=0, frameNum=227, signedNUm=-68, LogicalAddress=64243, physicalAddress=58115]
address [pageNum=8, frameNum=227, signedNUm=66, LogicalAddress=2315, physicalAddress=58115]
address [pageNum=4, frameNum=143, signedNUm=62, LogicalAddress=64454, physicalAddress=36610]
address [pageNum=0, frameNum=143, signedNUm=0, LogicalAddress=55041, physicalAddress=36609]
address [pageNum=8, frameNum=143, signedNUm=0, LogicalAddress=18633, physicalAddress=36609]
address [pageNum=12, frameNum=138, signedNUm=0, LogicalAddress=14557, physicalAddress=35329]
address [pageNum=12, frameNum=138, signedNUm=59, LogicalAddress=61006, physicalAddress=35330]
address [pageNum=4, frameNum=138, signedNUm=37, LogicalAddress=62615, physicalAddress=35331]
address [pageNum=4, frameNum=138, signedNUm=105, LogicalAddress=7591, physicalAddress=35331]
address [pageNum=8, frameNum=40, signedNUm=58, LogicalAddress=64747, physicalAddress=10243]
address [pageNum=4, frameNum=40, signedNUm=-111, LogicalAddress=6727, physicalAddress=10243]
address [pageNum=8, frameNum=1, signedNUm=-114, LogicalAddress=32315, physicalAddress=259]
address [pageNum=4, frameNum=1, signedNUm=0, LogicalAddress=60645, physicalAddress=257]
address [pageNum=4, frameNum=1, signedNUm=0, LogicalAddress=6308, physicalAddress=256]
address [pageNum=8, frameNum=1, signedNUm=0, LogicalAddress=45688, physicalAddress=256]
address [pageNum=8, frameNum=80, signedNUm=0, LogicalAddress=969, physicalAddress=20481]
address [pageNum=8, frameNum=80, signedNUm=-18, LogicalAddress=40891, physicalAddress=20483]
address [pageNum=12, frameNum=80, signedNUm=48, LogicalAddress=49294, physicalAddress=20482]
address [pageNum=12, frameNum=80, signedNUm=40, LogicalAddress=41118, physicalAddress=20482]
address [pageNum=0, frameNum=170, signedNUm=-28, LogicalAddress=21395, physicalAddress=43523]
address [pageNum=8, frameNum=170, signedNUm=-14, LogicalAddress=6091, physicalAddress=43523]
address [pageNum=12, frameNum=170, signedNUm=0, LogicalAddress=32541, physicalAddress=43521]
address [pageNum=0, frameNum=170, signedNUm=0, LogicalAddress=17665, physicalAddress=43521]
address [pageNum=8, frameNum=170, signedNUm=0, LogicalAddress=3784, physicalAddress=43520]
